RecordType,Company,Number,VendorGroup,Vendor,VendorName,TransactionDate,JCCo,Job,JobDescription,Description,DetailLineCount,TotalOrigCost,TotalOrigTax,RemainingAmount,RemainingTax
PO,20,12240059,1,51367,INTEREUM INC,8/27/2012 0:00,20, 16179-001,442 OFFICE BUILD OUT,MISC ITEMS                    ,1,30200.59,0,16844.97,0
PO,20,12258098,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,12261052,1,53106,WE-ESTES,,,,,,,,,,
PO,20,12269059,1,52648,STAR RENTALS,9/25/2012 0:00,20, 14345-001,KENNEWICK SD,RENTALS                       ,1,1264.19,0,4.66,0
PO,20,12272034,1,53124,WE-SCHROCK,,,,,,,,,,
PO,20,12276104,1,52648,STAR RENTALS,10/2/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,412.85,0,10.95,0
PO,20,12277052,1,50820,EDGE CONSTRUCTION SUPPLY,10/3/2012 0:00,20, 14345-001,KENNEWICK SD,MISC ITEMS                    ,1,359.23,0,359.23,0
PO,20,12283047,1,52628,CITY OF SPOKANE,10/9/2012 0:00,20, 14348-001,AVISTA 1ST FL & BSMT,RENTALS                       ,1,3654.56,0,2981.55,0
PO,20,12289042,1,52648,STAR RENTALS,10/15/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,201.1,0,0.92,0
PO,20,12290161,1,53011,SUNRISE IDENTITY,,,,,,,,,,
PO,20,12291086,1,53011,SUNRISE IDENTITY,,,,,,,,,,
PO,20,12299193,1,52648,STAR RENTALS,10/25/2012 0:00,20, 14345-001,KENNEWICK SD,RENTALS                       ,1,179.36,0,0.66,0
PO,20,12304024,1,50289,BERG SCAFFOLDING CO INC,10/30/2012 0:00,20, 14275-001,CITY OF EVERETT PH 2,RENTALS                       ,1,380,0,380,0
PO,20,12304063,1,52310,REFRIGERATION SUPPLIES,10/30/2012 0:00,20, 14427-001,CITY OF BOULDER ESPC,EQUIPMENT                     ,1,2748.06,0,2748.06,0
PO,20,12304071,1,51215,HD SUPPLY WATERWORKS,,,,,,,,,,
PO,20,12306137,1,53618,BERG EQUIP&SCAFFOLDING CO,11/1/2012 0:00,20, 14275-001,CITY OF EVERETT PH 2,MISC ITEMS                    ,1,8745.02,0,321.32,0
PO,20,12317090,1,52225,PRICE & SON'S INC,11/12/2012 0:00,20, 14452-001,UW PLATTEVILLE ESPC2,ELECTRICAL MATERIALS          ,1,128103.4,0,0.02,0
PO,20,12321057,1,52648,STAR RENTALS,11/16/2012 0:00,20, 14345-001,KENNEWICK SD,RENTALS                       ,1,107.1,0,25.87,0
PO,20,12325109,1,50510,CINTAS CORPORATION #460,11/20/2012 0:00,20, 14619-000,DISNEY TRANSITION,MISC ITEMS                    ,1,8000,0,5132.76,0
PO,20,12331202,1,52596,SOUND SAFETY PRODUCTS,11/26/2012 0:00,20, 14611-000,PSE-SCOPE,MISC ITEMS                    ,1,500,0,104.05,0
PO,20,12333111,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,12335097,1,50163,ARAMARK UNIFORM,11/30/2012 0:00,20, 14630-000,APPLE CUPERTINO FY13,TELECOMMUNICATIONS            ,1,5747.56,0,5747.56,0
PO,20,12335102,1,50163,ARAMARK UNIFORM,11/30/2012 0:00,20, 14629-000,APPLE NEWARK DATA,TELECOMMUNICATIONS            ,1,3831.36,0,3831.36,0
PO,20,12338076,1,52648,STAR RENTALS,12/3/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,208.05,0,0.19,0
PO,20,12338087,1,52648,STAR RENTALS,12/3/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,315,0,211.06,0
PO,20,12342091,1,52648,STAR RENTALS,12/7/2012 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,1278.98,0,1.17,0
PO,20,12345123,1,51105,GRAINGER INC,12/10/2012 0:00,20, 14619-000,DISNEY TRANSITION,MISC ITEMS                    ,1,1176.7,0,35.6,0
PO,20,12347051,1,52768,THERMAL SUPPLY INC,12/12/2012 0:00,20, 14275-001,CITY OF EVERETT PH 2,HVAC MATERIALS                ,1,50,0,50,0
PO,20,12355150,1,53103,WE-CHAPMAN,,,,,,,,,,
PO,20,13003096,1,52668,STONEWAY ELECTRIC SUPPLY,1/3/2013 0:00,20, 14245-001,WWU PH 1.0,ELECTRICAL MATERIALS          ,1,29793.6,0,24.24,0
PO,20,13014168,1,51052,GENSCO INC,1/14/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,100,0,30.02,0
PO,20,13015065,1,52682,STUSSER ELECTRIC COMPANY,1/15/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,357.12,0,357.12,0
PO,20,13015073,1,51484,KITCHEN PARTS PLUS INC,1/15/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,66.7,0,66.7,0
PO,20,13015075,1,52682,STUSSER ELECTRIC COMPANY,1/15/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,63.74,0,63.74,0
PO,20,13017179,1,52914,VEMCO INLAND NW INC,1/17/2013 0:00,20, 14345-001,KENNEWICK SD,EQUIPMENT                     ,1,2700,0,1770.73,0
PO,20,13021168,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,1800,0,1702.84,0
PO,20,13021170,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,1800,0,1687.45,0
PO,20,13021171,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,1500,0,1246.99,0
PO,20,13021172,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,32000,0,29003.31,0
PO,20,13021173,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,2400,0,2313.54,0
PO,20,13021175,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,30000,0,29135.1,0
PO,20,13021176,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,1200,0,1158.97,0
PO,20,13021178,1,52992,WAXIE SANITARY SUPPLY,1/21/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,1500,0,1500,0
PO,20,13022128,1,51105,GRAINGER INC,1/22/2013 0:00,20, 14630-000,APPLE CUPERTINO FY13,TELECOMMUNICATIONS            ,1,1039.76,0,9.38,0
PO,20,13023068,1,50082,AIR TEC COMPANY,1/23/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,1575.01,0,1338.01,0
PO,20,13029034,1,50163,ARAMARK UNIFORM,1/29/2013 0:00,20, 14630-000,APPLE CUPERTINO FY13,TELECOMMUNICATIONS            ,1,8961.83,0,151.45,0
PO,20,13032065,1,52306,REDIFUEL,2/1/2013 0:00,20, 14646-000,TESORO COMPANIES,MISC ITEMS                    ,1,880,0,880,0
PO,20,13036104,1,51105,GRAINGER INC,2/5/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,131.76,0,131.76,0
PO,20,13044067,1,51052,GENSCO INC,2/13/2013 0:00,20, 14622-000,AT&T,HVAC MATERIALS                ,1,237.72,0,14.64,0
PO,20,13045058,1,50073,AIREFCO INC,2/14/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,3581,0,202.01,0
PO,20,13045061,1,51105,GRAINGER INC,2/14/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,158.2,0,2.29,0
PO,20,13050002,1,50775,DORSE & COMPANY INC,2/19/2013 0:00,20, 14622-000,AT&T,MISC ITEMS                    ,1,422,0,422,0
PO,20,13051079,1,50923,CRAWFORD ELEC SUPPLY CO,2/20/2013 0:00,20, 14646-000,TESORO COMPANIES,MISC ITEMS                    ,1,3473,0,3.28,0
PO,20,13052149,1,52133,PENSKE TRUCK LEASING CO,2/21/2013 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,118,0,25.69,0
PO,20,13057030,1,52724,TACOMA SCREW PRODUCTS,2/26/2013 0:00,20, 14622-000,AT&T,MISC ITEMS                    ,1,75.08,0,5.04,0
PO,20,13059101,1,51105,GRAINGER INC,2/28/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,54.6,0,6.54,0
PO,20,13063056,1,50056,ADVANCE MARKING SYSTEMS,3/4/2013 0:00,20, 14633-001,UWSOM 2013,MISC ITEMS                    ,1,205.65,0,0.01,0
PO,20,13065176,1,52324,REVERE ELECTRIC SUPPLY,3/6/2013 0:00,20, 14456-001,PROHEALTH,ELECTRICAL MATERIALS          ,1,171712.1,0,20157.72,0
PO,20,13066028,1,51105,GRAINGER INC,3/7/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,90,0,3.54,0
PO,20,13071091,1,52768,THERMAL SUPPLY INC,3/12/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,550,0,78.25,0
PO,20,13072063,1,51105,GRAINGER INC,3/13/2013 0:00,20, 14630-000,APPLE CUPERTINO FY13,TELECOMMUNICATIONS            ,1,168.77,0,40.28,0
PO,20,13072116,1,52648,STAR RENTALS,3/13/2013 0:00,20, 14348-001,AVISTA 1ST FL & BSMT,RENTALS                       ,1,1540.99,0,256.99,0
PO,20,13077072,1,51052,GENSCO INC,3/18/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,45,0,4.71,0
PO,20,13081090,1,51451,KELLER SUPPLY COMPANY,3/22/2013 0:00,20, 14635-000,307 WESTLAKE CBRE FM,MISC ITEMS                    ,1,838,0,185.34,0
PO,20,13088101,1,51105,GRAINGER INC,3/29/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,269.41,0,13.61,0
PO,20,13091146,1,52648,STAR RENTALS,4/1/2013 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,1215,0,1215,0
PO,20,13092067,1,51105,GRAINGER INC,4/2/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,344.5,0,6.09,0
PO,20,13095003,1,51406,JOE W FLY COMPANY,4/5/2013 0:00,20, 14646-000,TESORO COMPANIES,MISC ITEMS                    ,1,1000.18,0,3.59,0
PO,20,13095033,1,51105,GRAINGER INC,4/5/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,411.3,0,31.34,0
PO,20,13099124,1,50923,CRAWFORD ELEC SUPPLY CO,4/9/2013 0:00,20, 14646-000,TESORO COMPANIES,MISC ITEMS                    ,1,1059.56,0,3.6,0
PO,20,13102009,1,52812,TRANE PARTS CENTER,4/12/2013 0:00,20, 14622-000,AT&T,HVAC MATERIALS                ,1,816.2,0,489.72,0
PO,20,13105099,1,50710,DELIVERY EXPRESS INC,4/15/2013 0:00,20, 14622-000,AT&T,MISC ITEMS                    ,1,41.96,0,41.96,0
PO,20,13107098,1,55609,ARGENS SAFE & LOCK CO,4/17/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,966,0,966,0
PO,20,13107119,1,51484,KITCHEN PARTS PLUS INC,4/17/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,502.34,0,204.34,0
PO,20,13109091,1,52668,STONEWAY ELECTRIC SUPPLY,4/19/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,171,0,9.39,0
PO,20,13109093,1,50867,COMMERCIAL FILTER SALES,4/19/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,153.5,0,1,0
PO,20,13112103,1,52596,SOUND SAFETY PRODUCTS,4/22/2013 0:00,20, 14611-000,PSE-SCOPE,MISC ITEMS                    ,1,31.95,0,31.95,0
PO,20,13112104,1,52596,SOUND SAFETY PRODUCTS,4/22/2013 0:00,20, 14626-000,WA CTS,MISC ITEMS                    ,1,31.95,0,31.95,0
PO,20,13113103,1,52863,MOTION INDUSTRIES INC,4/23/2013 0:00,20, 14635-000,307 WESTLAKE CBRE FM,MISC ITEMS                    ,1,1536.84,0,510.29,0
PO,20,13114053,1,50510,CINTAS CORPORATION #460,4/24/2013 0:00,20, 14619-000,DISNEY TRANSITION,MISC ITEMS                    ,1,10000,0,5125.94,0
PO,20,13115125,1,52724,TACOMA SCREW PRODUCTS,4/25/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,248.28,0,21.26,0
PO,20,13126154,1,51105,GRAINGER INC,5/6/2013 0:00,20, 14619-000,DISNEY TRANSITION,MISC ITEMS                    ,1,1557.58,0,311.83,0
PO,20,13127143,1,52682,STUSSER ELECTRIC COMPANY,5/7/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,15,0,15,0
PO,20,13129048,1,51105,GRAINGER INC,5/9/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,163.71,0,57.73,0
PO,20,13130126,1,52682,STUSSER ELECTRIC COMPANY,5/10/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,363.75,0,363.75,0
PO,20,13133003,1,50687,DATASPAN INC,5/13/2013 0:00,20, 14646-000,TESORO COMPANIES,MISC ITEMS                    ,1,1019.72,0,5.66,0
PO,20,13136041,1,52648,STAR RENTALS,5/16/2013 0:00,20, 14611-000,PSE-SCOPE,RENTALS                       ,1,375,0,136.15,0
PO,20,13137089,1,50080,AIR REPS LLC,5/17/2013 0:00,20, 14368-001,WSU ESPC PHASE 4.4,EQUIPMENT                     ,1,119940,0,8500,0
PO,20,13142010,1,52306,REDIFUEL,5/22/2013 0:00,20, 14646-000,TESORO COMPANIES,MISC ITEMS                    ,1,1840,0,1840,0
PO,20,13142023,1,50923,CRAWFORD ELEC SUPPLY CO,5/22/2013 0:00,20, 14646-000,TESORO COMPANIES,MISC ITEMS                    ,1,662.61,0,662.61,0
PO,20,13142063,1,51741,MCMASTER-CARR,5/22/2013 0:00,20, 14647-000,WEYER 2013,MISC ITEMS                    ,1,88.76,0,88.76,0
